#node1Id,#node2Id,buses
1193,7960,房49路|房36路
256,5969,H52路
10083,8756,454路
3744,52,顺43路|顺27路
1078,811,房36路|房36路区间
10511,1800,快速直达专线90路|634路
11497,946,兴26路
1471,2514,344路快
10774,1839,运通120路
3660,5949,房28路
1192,6637,平50路
1032,6907,快速直达专线60路
11495,6635,431路|650路|302路|夜3路|619路|350路|夜25路|运通122路|499路|672路|673路|675路|特16路|502路
11377,7816,通42路
11352,6739,昌3路
4790,7958,73路
5881,732,807路|快速直达专线149路|快速直达专线12路
1090,6314,Y22路|Y07路
11020,8731,542路
11350,4101,443路
11591,3022,671路
11364,7956,882路
846,9746,933路
846,9740,密32路|密36路|密35路
1478,56,房51路
11782,2446,郊90路
23,7008,943路快
3595,7940,顺20路
141,3130,433路
2181,420,顺48路|顺17路区间后岭|顺21路|顺21路区间|顺17路|顺17路区间大洛泡
10492,5963,密30路|密32路|密31路|密17路支4|密17路支1|密17路支2|密33路|密36路|密35路|密5路|密18路|密16路|密57路|密29路|密25路|密28路
10360,4626,房34路
1491,4959,房33路
11644,50,运通102路
11195,8324,682路|运通107路|运通104路|701路
956,9963,顺42路
11435,5928,447路|384路区间
7294,916,118路|693路|夜3路|701路|717路
5882,744,8路|525路|12路
2290,8938,587路
3461,5300,925路
3350,6410,密10路
3574,5503,438路
3571,5539,682路|运通107路|运通101路|运通104路|696路|657路|701路|571路|445路|677路|983路|416路|854路
10936,9925,Y21路区间
705,8513,密67路
10936,9920,Y17路|Y20路|Y21路|Y23路|Y25路|876路支|876路|921路|Y04路|Y03路|Y05路|Y08路
1103,11080,通39路
10893,9020,顺31路区间|顺31路|H61路
257,4661,650路|快速直达专线78路
246,4771,快速直达专线31路
10186,786,专102路
10186,6431,专102路
10066,8962,929路
10237,5918,兴21支路
11258,714,72路|34路|35路|36路|957路|958路|41路
11230,7913,383路
10894,9006,平20路
10961,8334,801路
3192,8012,970路快|980路|987路
3488,7713,房45路
3671,4554,79路|601路|386路|653路|304路|夜9路|579路|671路
10487,3407,820路|986路
3751,3758,房47路|房36路|房36路区间
4682,6425,顺13路
11885,2700,74路|997路|夜15路|专27路|特17路
10165,979,85路
11975,1809,989路|496路|671路
10043,861,昌11路
11511,95,密31路|密29路
10194,8984,938路
10383,3106,550路|356路
10162,5319,450路|专167路|541路
4201,9913,423路
11271,560,546路
8495,912,专165路
4875,5832,812路
846,9778,兴32路
711,9792,密9路|密2路
729,9613,兴59路
11872,1519,856路|945路|顺41路|顺20路区间|顺40路|顺45路|顺36路区间|顺37路|顺36路|顺39路|915路|顺33路|顺31路|顺18路区间|918路|空港7路|顺23路|顺24路|923路|顺28路|924路|915路快|顺33路区间|顺16路|顺28路区间汉石桥方向|顺28路区间道口|顺19路
703,9879,430路
3396,9980,快速直达专线98路|829路|840路
10931,9945,地铁14号线
617,9409,462路
328,3966,顺3路
1921,797,顺42路
10469,2317,密57路
11041,276,临8路
10022,4127,房48路
1822,450,通2路
10910,595,快速直达专线22路
11686,4793,71路
5609,7874,360路
11301,3317,昌53路
11741,1583,通53路
11176,7235,545路
2984,9125,通州森林公园1路
1863,7022,地铁8号线
11185,8479,专118路|快速直达专线141路|620路
11448,5849,快速直达专线42路
11694,2058,快速直达专线107路
8815,9114,504路|599路|927路|139路
2457,4724,919路
2374,6884,832路
11242,5249,地铁16号线
11248,870,密10路
6553,9098,516路
3478,860,特11路
3430,4313,637路
1853,7129,801路|802路
1934,7648,905路|465路|558路|426路|319路
1129,4701,昌13路
278,4498,通1路
10166,5346,昌21路|昌58路
10106,5937,45路
1031,4330,924路
10040,5268,426路
11139,615,平47路
10162,5378,541路
1150,3146,941路|77路|夜16路|568路|627路
11965,9013,554路
3925,9096,Y40路
2914,9817,419路|379路|夜26路|408路|特16路|984路
11673,2272,通3路
11297,366,快速直达专线116路|586路
11773,1275,兴23路|兴24路
5445,8191,868路|987路
6622,7068,993路|646路|951路|835路|快速直达专线140路|896路
2073,8554,顺42路|顺27路|顺22路
1903,7941,346路
3365,652,631路
10921,7441,房43路|房49路|房48路|房39路|房27路
9174,9174,顺31路区间
819,8734,房3路
644,9153,H19路
348,3781,房15路|房12路|房18路|房42路|快速直达专线86路|房41路|房47路|房31路|房38路
10396,5690,H53路环线
1374,2240,兴15路
115,2127,夜18路
10971,8278,54路
1468,3960,快速直达专线113路|快速直达专线15路
1699,2963,房39路
11714,1870,房35路
26,7066,951路
11734,1676,顺3路|顺32路|顺34路区间|顺27路|顺21路|顺14路
2567,3604,郊88路
2420,3748,通11路
8155,8692,夜12路
4307,6274,561路|41路
1742,9548,481路
1950,8798,昌36路
1057,6731,专55路|994路
10502,1964,990路|865路|820路
1853,9764,802路
1095,6332,901路|904路|906路|房37路支线|901路快|房37路
10353,3445,顺12路区间|顺12路
7814,8477,顺27路
123,3395,运通101路
10022,5428,特8路
1361,2346,993路|646路|951路|956路|835路|房39路|快速直达专线140路|房27路|896路
8046,8453,816路
11255,5143,106路
11244,873,运通106路|80路|夜8路|夜20路
2286,783,地铁10号线
11389,7799,兴52路
7724,9374,Y12路|Y11路|Y13路|Y27路|Y32路
5548,7181,昌11路
11178,207,运通205路|543路
3110,520,329路
10711,9522,郊81路
2403,3905,423路
2062,7314,111路
1821,8747,381路|456路|410路
3391,375,密38路
10654,1761,943路
10113,4511,810路
10646,1842,555路|926路
1873,8222,通6路
1697,2962,房37路
1496,3648,昌2路|昌1路|326路
2294,7641,557路
11321,4414,通9路
2351,5741,专24路
2312,4800,891路
11382,7799,兴52路
11623,2728,昌3路
2392,6666,Y08路
3202,927,密65路|密62路|密61路|密60路
10055,6497,房52路|房15路|房16路|房12路|907路|房19路|836路张坊|房31路支线|房41路|917路|房31路|836路|房18路支2|房26路|房15路专线
8938,9258,807路
1926,714,72路|34路|35路|561路|41路|352路
1832,322,平38路
