#nodeId,buses
4970,494路
3640,965路|专91路|327路
4971,密63路
3638,523路|开发区4路
2306,612路
4969,专40路
3639,兴14路区间|兴14路
2305,昌58路
2304,113路|124路|夜18路|夜34路|104路|特11路|108路
2303,平4路
2302,兴16路|821路|兴47路|927路|623路|976路|开发区1路|324路|631路
2301,902路|908路|384路|522路|438路|570路|575路|384路区间|运通123路|633路
2300,510路|夜14路|特13路|特15路
4961,房16路|房19路|房31路支线|房18路支2|房21路|房20路|房29路|房23路|房22路|房25路|房24路|房15路专线
3630,456路
3631,419路|639路|运通111路|112路|115路|468路|75路|648路|605路|690路|夜13路|快速公交2线|615路|488路|95路|运通121路|411路|412路|635路
4962,房12路
4963,快速直达专线53路|516路
3632,顺4路|顺2路
3633,密2路
4964,顺22路
4965,695路|658路|618路
3634,通4路
3635,快速直达专线97路|快速直达专线45路|958路|83路|830路|969路|480路|483路|531路|973路|夜36路|323路|458路
2309,596路|386路|专20路
4966,通10路
4967,988路
2308,643路|专106路|962路|643路区|昌11路区间|922路|884路
3636,兴微28路
3637,77路
4968,Y40路
2307,通18路
4980,专166路
4981,651路|87路|快速直达专线35路
3650,密65路|密62路|密61路|密63路|密60路
3651,兴16路|兴16路区间|开发区6路|453路
4982,密25路
2320,365路
2317,密57路
3649,昌37路|昌31路
2316,专55路
1,昌57路
2315,空港3路|空港6路
2,房18路支1
2314,顺36路区间|顺36路|顺31路区间|顺31路
3,802路
4,兴13路北线
2313,H54路|顺25路|H63路|942路快
5,专36路区间|专36路
2312,891路
2311,813路
6,顺19路
7,地铁八通线
2310,兴62路|兴63路
3641,550路|339路|951路|河北庄-朱家坟通勤班车|830路|356路|快速直达专线24路|978路|321路|458路|459路|897路|983路
4972,密18路
8,通14路
3642,H55路环线|861路|916路快车|916路
9,935路快|834路
4973,951路|快速直达专线24路|458路|459路
3643,517路|911路|499路快|306路|499路|675路
4974,通19路
4975,940路
3644,通22路
3645,临8路
4976,平34路
3646,通22路
4977,兴47路
2319,941路|597路|337路|958路|959路|385路|夜5路|专108路|快速直达专线31路|399路|318路|327路
3647,莲花桥-莲花桥临线|473路|99路|68路
4978,房30路|房33路
3648,590路|昌2路|昌52路|昌1路|326路
4979,Y35路
2318,927路
4990,374路|74路|437路
4991,801路|802路|郊90路
3660,房28路
4992,房12路|907路|房18路|房37路支线|房2路|993路|房1路|646路|951路|952路|房43路|房49路|房48路|839路|房38路|快速直达专线140路
3661,顺5路
4993,地铁8号线
3662,兴63路
2331,133路|53路
1000,445路|503路
2330,951路|830路|978路|458路
2328,房38路|房34路
2327,346路
2326,专47路环线
2325,地铁10号线|运通109路|386路|653路|304路|夜9路|611路|579路|671路|323路|630路|634路
2324,H43路|H11路|H29路|H30路|H32路|H31路|H33路
2323,375路|384路|476路|437路|384路区间|534路
2322,兴58路|兴32路
2321,H61路
4983,密13路
3652,密65路
3653,房50路
4984,931路
4985,980路快|980路|密7路晚班
3654,兴32路区间
4986,运通113路|593路|913路|132路|660路|409路|361路|851路
3655,通14路专线
4987,平49路
3656,大兴专1路
4988,509路|909路|429路|362路|运通205路
3657,专58路
4989,942路
3658,684路|39路|夜10路|128路|43路|525路|夜28路|夜24路|623路
3659,944路|运通113路|运通201路|专112路|快速直达专线88路|567路|657路|966路|132路|409路|361路|677路|851路
2329,空港6路
3670,319路
3671,79路|601路|386路|653路|304路|夜9路|579路|671路|634路
3672,655路
3673,H32路
1011,专10路|535路|541路
2342,地铁14号线东段
2341,944路|117路|426路|124路|301路|快速公交3线|快速公交3线区间|专8路|夜34路|108路
1010,633路
2340,昌26路
1008,H47路|H26路
2339,998路|349路
1007,H43路|H11路|H29路|H30路|H32路|H31路
2338,兴30路
1006,909路|运通205路
2337,昌17路
1005,房17路|房19路
2336,专66路
1004,945路|905路|643路|昌59路|昌52路|昌51路|643路区|985路区
2335,Y12路|Y13路|Y32路|Y38路
2334,房30路|835路|835路快|房27路|房28路
1003,专4路
1002,顺37路
2333,397路
2332,637路|29路|采育-劲松临时线|8路|561路|夜19路|41路|98路|52路|402路|535路|特3路|541路|457路
1001,856路|945路|顺20路区间|顺45路|915路|918路|空港7路|923路|924路|970路|915路快|顺15路|顺55路|地铁15号线|918路关上
4994,通38路|通13路
3663,12路
4995,顺34路|顺34路区间
3664,Y05路
4996,快速直达专线57路|596路|466路|695路|专20路|653路|专107路|快速直达专线76路|966路|专81路|夜26路|484路|621路|运通128路|北苑家园通勤环线|特11路
3665,976路
3666,948路|房47路|房49路|Y01路
4997,密3路
3667,地铁10号线
4998,741路|夜28路|91路|12路|专162路
4999,专55路|994路
3668,房25路
3669,昌59路
1009,专38路
3680,825路|快速直达专线43路|622路
3681,平39路
3682,682路|75路|640路|126路|306路|夜6路|486路|140路
3683,961路|663路|318路
3684,平12路
2353,470路
1022,H14路|H60路|H21路|H37路
1021,顺46路
2352,916路|18路
2351,940路|兴12路|专24路
1020,天通苑-国贸通勤快车|快速直达专线58路
2350,499路快
1019,夜10路|83路|夜4路|102路|105路|特14路|109路
1018,597路|专109路|527路|972路
2349,顺14路
1017,顺32路
2348,通1路
1016,房14路|房13路支线
2347,房14路区
1015,房11路
2346,房12路|房2路|993路|646路|951路|956路|房47路|房46路|835路|房39路|快速直达专线140路|房35路|房27路|房28路|896路
2345,948路|M07路|931路
1014,专108路
2344,927路|801路|郊90路
1013,郊94路
1012,H14路|H60路|H21路|H37路
2343,专34路环线
3674,842路
3675,951路|574路|310路|843路|327路
3676,830路
3677,114路|32路|94路|717路|特5路|65路|68路|特18路|21路
3678,M16路
3679,828路
3690,954路|957路|兴22路|兴25路
3691,兴23路
3692,运通113路|469路|740路公益西桥|698路|740路|528路|360路快|982路|983路
3693,Y12路|Y11路|Y14路|Y13路|Y16路|Y18路|Y19路|Y28路|Y27路|Y29路|873路|Y30路|Y32路|Y31路|Y34路|Y36路|H60路|Y38路|925路|Y37路|Y39路
3694,Y28路|H60路
3695,平12路
2364,快速直达专线115路|专117路|专118路|专58路|快速直达专线141路|751路|机场巴士8线|620路|319路|933路|运通128路|快速直达专线58路
1033,78路|32路|85路|414路
2363,平1路|平20路|平48路|平15路|平14路|平13路|平17路|平16路
1032,快速直达专线60路
1031,顺17路区间后岭|顺12路区间|顺38路|顺5路|顺30路|顺33路|顺34路|空港8路|顺2路|顺34路区间|924路|顺21路|顺14路|顺33路区间|顺12路|顺21路区间|顺17路|850路快|顺17路区间大洛泡|850路
2362,昌55路
1030,110路|111路|684路|116路|夜10路|128路|106路|108路
2361,通12路
2360,948路
1029,680路|513路|专10路|605路|440路|98路|51路
2359,Y26路|Y40路
1028,房39路
2358,110路|112路|夜13路|58路|140路|101路|109路
1027,郊86路
2357,通28路
1026,顺12路区间|顺12路
1025,密13路
2356,802路
2355,Y12路|Y11路|Y13路|Y32路|Y36路|Y38路
1024,826路
1023,941路|337路|959路|385路|夜5路|专108路|318路|327路
2354,夜10路|124路|107路|635路
3685,顺36路区间|顺36路|顺31路区间|顺31路|顺32路
3686,房16路|房18路|836路张坊|917路快|房41路|917路|房31路|房18路支2
3687,运通113路|473路|611路|531路|634路
3688,专58路|301路|天通苑-国贸通勤快车
3689,运通201路|601路|运通101路|运通104路|387路|300路快|302路|夜30路|847路|848路|特8路|361路|671路|328路
1044,房14路
2375,678路
2374,房51路|832路
1043,通45路|809路
2373,顺36路区间|顺37路|顺36路|顺31路区间|顺31路|顺32路|顺16路
1042,580路
1041,地铁房山线
2372,金融街3号专线
2371,119路|515路|696路|567路|专22路|942路快|快速直达专线29路|快速直达专线65路|547路
1040,615路|夜27路|666路
2370,平2路|平26路
1039,快速直达专线98路|840路|兴22路
1038,Y10路
2369,昌2路|昌1路
1037,330路|908路|518路|651路|328路
2368,昌68路|昌57路
2367,运通111路|475路|397路|411路
1036,平12路
1035,902路|570路|苏家坨通勤班车|365路
2366,平62路
1034,顺36路区间|顺37路|顺36路|顺31路区间|顺31路|空港8路|顺16路
2365,运通202路
3696,Y23路
3697,房33路|房35路
3698,房20路
3699,兴52路|兴21支路|兴31路
2386,房28路
1055,大兴专1路
1054,昌21路
2385,507路
1053,昌27路|905路|464路|465路|426路|430路|432路|520路|快速公交3线|966路|617路|快速公交3线区间|751路|621路|319路|984路
2384,606路|387路|691路|694路|84路|44路|618路|392路|特12路|21路
2383,941路|快速直达专线51路|运通116路|运通112路|597路|336路|396路|489路|358路|972路|977路
1052,房11路|房35路
2382,44路|夜20路|特2路|特12路
1051,专93路
2381,兴58路
1050,31路|513路|35路|439路|138路|11路|455路|541路|23路
2380,989路|639路|659路|983路
1049,快速直达专线44路|969路|842路
1048,872路|878路|879路|925路|314路
2379,619路|364路|586路
1047,密17路支1|密17路支2
2378,552路|快速直达专线5路|675路
1046,467路|515路|966路|985路
2377,昌13路
2376,Y10路
1045,密15路
2397,兴46路
1066,493路
2396,运通106路|336路|快速直达专线121路|568路|355路|977路|981路
1065,密61路
2395,988路|421路|30路|31路|486路|夜25路|138路|973路|夜34路|677路|985路
1064,顺35路
1063,平48路|平13路
2394,兴24路
1062,密3路
2393,顺19路
1061,地铁14号线东段
2392,Y08路
1060,专61路|891路
2391,648路|442路|583路
2390,兴微16路
11108,房33路
11107,818路班车
11109,Y25路
1059,顺43路|顺27路
2389,房11路|房46路
1058,顺46路
1057,专55路|994路|565路|830路|391路|574路|978路|897路
2388,顺35路|顺25路|942路支
2387,870路|655路|357路|883路|887路
1056,密5路
11100,75路|119路|123路|夜6路|夜36路
11102,449路
11101,房52路|房40路
11104,820路|986路
11103,H46路
11106,密10路
11105,通9路
1077,648路|342路|435路|夜27路|666路|667路|626路|806路
1076,824路
1075,71路|2路|夜2路|专9路|678路
1074,兴39路
1073,Y15路
1072,房37路支线|房40路|房37路
1071,通38路|通13路
1070,659路|619路
11119,665路|夜30路|678路
11118,快速直达专线80路|446路|447路|运通205路
1069,695路|305路|618路|751路|670路上东廓|625路|夜38路
1068,顺20路区间|顺40路|顺45路|杨镇1路|顺39路|顺33路|顺18路区间|顺23路|顺33路区间|顺18路|顺15路|顺19路
2399,117路|夜6路
2398,兴21支路
1067,845路
11111,专46路
11110,Y34路
11113,通48路|通49路|房39路|808路|809路|通19路
11112,机场巴士5线
11115,运通114路|运通112路|运通108路|518路|快速直达专线81路|专28路|476路|562路|577路|449路|328路
11114,869路
11117,房21路|房20路|房25路|房24路
11116,密38路|密52路
1080,908路
9800,468路
1088,909路|963路|运通205路|982路
1087,房51路
1086,房50路|房13路|房37路支线|951路|833路|房37路|971路
1085,36路|122路|特3路
1084,509路|运通114路|333路|运通108路|476路|562路|651路|438路|575路|特6路|362路|特4路
1083,305路|618路|夜38路|特13路
1082,地铁14号线东段
1081,兴55路
1079,930路
1078,房36路|房36路区间
1091,兴58路|兴19路
1090,Y22路|Y35路|Y07路
9810,H45路
9811,667路-552路联运|552路|通4路|快速直达专线143路|317路|809路|589路
1099,昌22路|昌19路
1098,997路|开发区2路
1097,810路|通21路|372路|911路|通46路|通14路|802路|582路|587路
1096,房38路
1095,901路|904路|906路|房37路支线|901路快|837路区|831路|837路|房37路|房21路|房20路|房23路|房22路|房25路|房24路
1094,952路|房28路
1093,房17路|房16路|房19路|917路
1092,Y13路
9809,昌20路|519路|专66路|昌53路|887路
1089,811路|816路|817路|930路
9803,508路|地铁4号线大兴线|运通114路|594路|331路|332路|333路|运通106路|运通108路|601路|476路|563路|437路|438路|夜8路|地铁16号线|563路区间|579路|特6路|特5路|498路|584路|运通118路|特10路|636路
9804,兴56路|兴32路
9801,昌32路
9802,937路
9807,38路|88路|47路|10路|15路|夜36路
9808,945路
9805,39路|957路|958路|128路|525路|夜24路|54路|623路
9806,平2路
9821,696路
9822,顺31路区间|顺18路
9820,顺22路
9814,H43路|H46路|H45路|H48路|H47路|H15路区间|H16路|H15路|H26路|H29路|H31路
9815,兴50路
9812,816路|930路
9813,577路
9818,郊88路
9819,993路|房46路
9816,510路|645路|304路|92路|579路|16路
9817,419路|运通113路|379路|740路公益西桥|386路|740路|658路|夜26路|快速直达专线7路|660路|407路|408路|特9路|490路|特16路|983路|984路
8501,938路卓达三溪塘专线|938路
9832,昌12路
9833,昌22路|463路|607路|快速公交3线|922路
8502,H36路
9830,945路|顺11路区间豹房|顺4路|顺3路|顺36路|顺11路区间刘各庄|顺29路|923路|顺28路|924路|顺13路|顺11路|顺33路区间|顺28路区间汉石桥方向|顺28路区间道口
9831,942路|915路|359路|405路|935路
8500,12路
200,密29路
201,H14路|H60路|H21路|H37路
202,498路
203,密26路
204,兴54路|兴28路区间
205,Y14路
9825,密17路支4|密18路|密16路
